"","dat.Gene.Marker.Symbol","dat.Gene.Type"
"1805","Serpina3k",NA
"1818","Smc1a",NA
"1828","Pvrig",NA
"1844","Rnpepl1",NA
"1871","Slc9a7",NA
"1894","Pcdhgb1",NA
"1907","Serpinb10",NA
"1914","Apela",NA
"1919","Alpi",NA
"1921","Slc22a29",NA
"1940","4930578C19Rik",NA
"1949","Gbp10",NA
"1958","Morc4",NA
"1976","Rbm10",NA
"1979","Med14",NA
"1981","Col6a4",NA
"2026","Serpina3f",NA
"2060","Fam24b",NA
"2070","Armcx1",NA
"2091","Gm614",NA
"2107","Eif2s3x",NA
"2110","Cxcl1",NA
"2125","Phf11c",NA
"2141","Prss56",NA
"2146","Tbc1d8b",NA
"2152","Pcdha12",NA
"2199","Armcx3",NA
"2235","Med14",NA
"2245","Slc35a2",NA
"2259","Gm20498",NA
"2264","Sspo",NA
"2275","Piezo2",NA
"2280","Zfp712",NA
"2292","Ccdc154",NA
"2319","Yipf6",NA
"2329","Hnrnph2",NA
"2337","Ap1s2",NA
"2342","Mill2",NA
"2343","Mill1",NA
"2345","Cyp2c38",NA
"2346","Sult2a3",NA
"2362","Gm6614",NA
"2367","Crlf2",NA
"2371","Gprasp2",NA
"2380","Trim52",NA
"2399","Gm5724",NA
"2401","Mid1",NA
"2406","Tas2r103",NA
"2420","Inpp5d",NA
"2421","Bcor",NA
"2422","Smc1a",NA
"2423","Gm614",NA
"2435","Atp7a",NA
"2444","Gm9733",NA
"2450","4930544G11Rik",NA
"2455","Igbp1",NA
"2456","Ythdf3",NA
"2463","Hils1",NA
"2484","Slco1a6",NA
"2491","Arhgap4",NA
"2494","Hsd17b10",NA
"2496","Hsd3b1",NA
"2507","Hist4h4",NA
"2514","Ccdc121",NA
"2527","Pramef8",NA
"2533","A2ml1",NA
"2540","Rufy4",NA
"2549","Slco6d1",NA
"2550","Pcdhb13",NA
"2553","Rnf113a1",NA
"2557","Zfp518a",NA
"2559","Bcorl1",NA
"2563","Serpina3j",NA
"2570","Ankrd36",NA
"2571","Lage3",NA
"2578","Vma21",NA
"2589","Smarca1",NA
"2598","Hsd3b1",NA
"2600","Ccnb3",NA
"2606","Ccdc154",NA
"2607","Trim52",NA
"2617","Tas2r103",NA
"2620","Tsr2",NA
"2685","Fam50a",NA
"2705","Sh3rf3",NA
"2711","Magt1",NA
"2718","Gemin8",NA
"2752","Rab33a",NA
"2753","Rab33a",NA
"2763","Sytl5",NA
"2764","Tex28",NA
"2765","Tmem164",NA
"2766","Tsga8",NA
"2769","Uxt",NA
"2778","Adam5",NA
"2813","Krt87",NA
"2814","Gm1043",NA
"2816","Gm45261",NA
"2817","Ttc6",NA
"2822","E130114P18Rik",NA
"2830","H2-Eb2",NA
"2847","Pcsk6",NA
"2853","Scd4",NA
"2890","Srd5a2",NA
"2910","Prickle3",NA
"2920","1700093K21Rik",NA
"2937","Gm5547",NA
"2950","Gbp7",NA
"2959","Eda",NA
"2984","Gm6614",NA
"2986","Fam50a",NA
"3029","Cntnap5b",NA
